,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jv-linked-list/jv-linked-list/target/surefire-reports/TEST-core.basesyntax.MyLinkedListTest.xml,-1,2028,2016,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,1903,1901,Not provided,BuildwithMaven,BuildwithMaven
2,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,1899,1897,Not provided,BuildwithMaven,BuildwithMaven
3,/home/runner/work/jv-linked-list/jv-linked-list/target/checkstyle-cachefile,-1,1716,1714,Not provided,BuildwithMaven,BuildwithMaven
4,/home/runner/work/jv-linked-list/jv-linked-list/.gitignore,-1,880,875,Not provided,uses-checkout,uses-checkout
5,/home/runner/work/jv-linked-list/jv-linked-list/README.md,-1,888,883,Not provided,uses-checkout,uses-checkout
6,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,1648,1646,Not provided,BuildwithMaven,BuildwithMaven
7,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,1644,1642,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/jv-linked-list/jv-linked-list/target/surefire-reports/core.basesyntax.MyLinkedListTest.txt,-1,2014,-1,Not provided,BuildwithMaven,Not provided
9,/home/runner/work/jv-linked-list/jv-linked-list/.github/workflows/ci.yml,-1,864,859,Not provided,uses-checkout,uses-checkout
