,step_name,#c,#m,cma,cm_a,cm__a,c_ma,c_m_a,c_m__a,_cma,_cm_a,_cm__a,_c_ma,_c_m_a,_c_m__a,time
0,Checkout,3948,4222,0,0,3948,0,0,0,0,0,274,0,0,0,2
1,UseJavamatrixjavaversion,0,0,0,0,0,0,0,0,0,0,0,0,0,4222,4
2,BuildandtestJavamatrixjavaversion,0,0,0,0,0,0,0,0,0,0,0,0,0,4222,4
