,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jv-hash-map/jv-hash-map/target/surefire-reports/TEST-core.basesyntax.MyHashMapTest.xml,-1,2219,2212,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/jv-hash-map/jv-hash-map/target/surefire-reports/core.basesyntax.MyHashMapTest.txt,-1,2210,-1,Not provided,BuildwithMaven,Not provided
2,/home/runner/work/jv-hash-map/jv-hash-map/target/checkstyle-cachefile,-1,1773,1771,Not provided,BuildwithMaven,BuildwithMaven
3,/home/runner/work/jv-hash-map/jv-hash-map/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,1705,1703,Not provided,BuildwithMaven,BuildwithMaven
4,/home/runner/work/jv-hash-map/jv-hash-map/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,1701,1699,Not provided,BuildwithMaven,BuildwithMaven
5,/home/runner/work/jv-hash-map/jv-hash-map/README.md,-1,905,900,Not provided,uses-checkout,uses-checkout
6,/home/runner/work/jv-hash-map/jv-hash-map/.gitignore,-1,897,892,Not provided,uses-checkout,uses-checkout
7,/home/runner/work/jv-hash-map/jv-hash-map/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,1974,1972,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/jv-hash-map/jv-hash-map/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,1970,1968,Not provided,BuildwithMaven,BuildwithMaven
9,/home/runner/work/jv-hash-map/jv-hash-map/.github/workflows/ci.yml,-1,881,876,Not provided,uses-checkout,uses-checkout
